"genes","logFC","logCPM","PValue","FDR"
"CORO7",1.96026339862777,3.1001530903319,1.0395575537737e-16,9.596155778885e-13
"CNPY3",1.7159217414401,3.17621375525568,4.71303315088063e-16,2.17530045078896e-12
"ARHGEF1",1.43758594848905,5.02901012551515,1.4594795754465e-15,4.49081865364887e-12
"CD276",2.24307029791429,3.76651022372704,3.91746070895824e-15,9.04051995109838e-12
"ANKRD13D",1.81749120871014,3.05383238212546,6.26651135660126e-15,1.08371970834687e-11
"CTSZ",1.27491578958098,5.4102356974613,7.04400200420458e-15,1.08371970834687e-11
"CMTM3",2.5250712008527,2.97737062414548,1.39098392004095e-14,1.53972570404615e-11
"UNC93B1",2.19329345778503,2.2967588177671,1.49307496542461e-14,1.53972570404615e-11
"TCIRG1",1.95222004695229,4.21263490017121,1.50119503156921e-14,1.53972570404615e-11
"CLIC1",2.32432813614826,4.75295679930269,1.68649485522111e-14,1.55680340085461e-11
"RCN3",2.55556267995494,3.17337536448852,2.21094645457008e-14,1.85221871791444e-11
"MMP14",2.9784288541013,5.06885861062365,2.45419018157162e-14,1.85221871791444e-11
"C17orf62",1.63857718437477,3.85480655926789,2.77256305365683e-14,1.85221871791444e-11
"ADAMTS2",4.030430250916,3.42423238636596,2.80912816063288e-14,1.85221871791444e-11
"ECM1",2.56241731459597,3.35759649977109,3.75811785122316e-14,2.31274572564273e-11
"EMP3",2.7287510587733,3.02064788866909,4.79711514486642e-14,2.76763561889137e-11
"DNM1",3.15740162134067,3.39969885551433,6.11846153787461e-14,2.98980532130318e-11
"CD81",1.53375673955522,6.9189215951383,6.18045093046434e-14,2.98980532130318e-11
"EMILIN2",3.4201574284838,2.41077541183866,6.31233097597996e-14,2.98980532130318e-11
"DDAH2",2.45770606271498,3.80372201812161,6.47774958575059e-14,2.98980532130318e-11
"PLAC9",2.99532641021812,3.26808472511475,6.94749459141052e-14,3.0539201225386e-11
"CALHM2",2.05876683121325,3.26703353872184,1.34783960947772e-13,5.65541247049492e-11
"ARRB2",1.659406288309,3.4916480258941,1.41163881213819e-13,5.66558168471635e-11
"C1R",2.95267934632849,6.28862774614799,1.65784819310085e-13,6.37649861271416e-11
"PTPRA",1.10342068827684,4.74424511301125,1.86883009628483e-13,6.90046824752209e-11
"VIM",2.76977552139417,8.13115416743098,2.40567066147376e-13,8.54105610617856e-11
"ARHGAP4",2.14230518813732,3.12739931705478,2.62835920852838e-13,8.98606809404646e-11
"EFHD2",2.12117682596419,3.16059164810659,2.99699886316996e-13,9.88046303782925e-11
"LGMN",1.20720099236882,5.61884839512916,3.12197138633281e-13,9.93755788525455e-11
"NCF4",2.84147608618612,1.62147048102849,3.80843280029886e-13,1.17185477265196e-10
"FMNL1",2.21333012843276,3.08350004420462,4.8998657346628e-13,1.45905356763459e-10
"TSPAN4",1.66688802159939,4.13166989805048,5.29945619826176e-13,1.52872750519232e-10
"ARHGAP45",2.07705166652437,2.93535375827303,6.28500491059475e-13,1.75808728271819e-10
"GLIPR2",2.3788737056995,3.03378558894903,6.92149332757246e-13,1.87918543843592e-10
"FKBP10",2.30240481076769,3.79068240394873,7.68417612366607e-13,2.02664656564461e-10
"P3H1",1.40722893078905,3.27486026507483,8.06794027947613e-13,2.068754353329e-10
"VAT1",1.77025642259115,5.33224653029219,8.49026140941731e-13,2.11820548838733e-10
"NPDC1",1.63213620719164,4.82501081052223,1.00122350751162e-12,2.43218268364205e-10
"TMSB10",2.15081373853824,6.41420707467981,1.29567947966448e-12,3.06677366071355e-10
"GRN",1.12256906690772,5.89114031764585,1.38544605937831e-12,3.13522546046712e-10
"PLOD3",1.26714369152373,4.06468183945031,1.39252782882843e-12,3.13522546046712e-10
"PTMS",1.97021441308196,5.61519461390857,1.46824428031535e-12,3.22699117895024e-10
"RAB5C",1.17297154938944,4.71968029891525,1.53002389151965e-12,3.28456989363208e-10
"ROBO3",2.71708912088521,2.23460291999222,1.59318007598169e-12,3.34241938213339e-10
"CORO1B",1.49319570125678,3.78064199640277,1.71648626539982e-12,3.45134305428014e-10
"PRKCD",2.30793289346961,3.15720263742908,1.71987629180897e-12,3.45134305428014e-10
"PGLS",1.55856794965382,2.97433244614003,1.80095003885048e-12,3.5371425124742e-10
"PALM",2.0960914922521,3.89575016030885,1.8762130221687e-12,3.60819216825818e-10
"IRF3",1.32530181083374,4.12094918298795,2.15624062827177e-12,3.92822166180964e-10
"NFATC4",2.07885396937844,3.88497206082495,2.15843645335393e-12,3.92822166180964e-10
"MFSD10",1.4271632722041,4.03217200981881,2.17028821094455e-12,3.92822166180964e-10
"CD248",3.08609005142808,4.66269047612668,2.28756500438435e-12,4.06086779912921e-10
"BASP1",3.75020297895237,1.61734561137742,2.34256416697618e-12,4.06189723483535e-10
"TTC7A",1.77689025059859,3.8438366784025,2.37615047861671e-12,4.06189723483535e-10
"IMPDH1",1.92618798877075,2.94135170985082,2.88153753598112e-12,4.83626781720758e-10
"MMP2",3.15060523483778,6.67759363508764,3.09395380281701e-12,5.10005134889353e-10
"C1S",2.22907139821755,6.97855949501402,3.58962825651829e-12,5.81330849752988e-10
"PLTP",3.30309855950473,4.44898793510062,4.0883119455803e-12,6.50675992580203e-10
"TNFRSF14",1.81945530830134,3.71132044587196,4.19778102843322e-12,6.56774858872323e-10
"MICAL1",1.86061685351947,3.98598999342021,4.4207031649336e-12,6.80125181925035e-10
"COLGALT1",1.25383638782452,5.12344065589436,4.67361888513427e-12,7.07248785715975e-10
"FERMT3",1.93672087355546,2.59487523016598,4.82800001889313e-12,7.1882690603875e-10
"SH3BGRL3",1.77369273735266,4.15702299838607,5.0673062350466e-12,7.4248101358278e-10
"OS9",0.940302650279525,5.9247748527766,5.36120403933679e-12,7.73269913861218e-10
"HTRA1",2.650067592121,4.78498630504921,5.50755147308732e-12,7.82157040739523e-10
"SPI1",2.58018090964086,2.00558771334302,6.09809764738046e-12,8.45694889866927e-10
"UNC45A",1.1005911969713,4.15824325252064,6.13818195440192e-12,8.45694889866927e-10
"COL6A1",2.03869315296041,7.71896193461452,6.79605851533876e-12,9.13477401063434e-10
"COL1A1",5.21014296277012,7.85420961095134,6.82807287112739e-12,9.13477401063434e-10
"LMF2",1.04741318955749,4.86023891772113,7.02816769980699e-12,9.26814514813119e-10
"GSN",1.78663189884635,9.35834858597143,7.239329117683e-12,9.41214747680729e-10
"PPIB",1.87611739694818,4.318005457055,7.93543381066879e-12,1.01738874314283e-09
"DBN1",1.55291646468657,5.29605190111487,8.130972449529e-12,1.02659281457325e-09
"LPIN2",1.40128876351608,3.15399165323318,8.22964665566249e-12,1.02659281457325e-09
"LILRB5",3.17153916215658,2.74000078226804,8.68576551628671e-12,1.06294650835903e-09
"SLC38A10",1.33339288663144,5.10932962553991,8.75137413446936e-12,1.06294650835903e-09
"MAN2B2",1.63995778174149,3.7201749204143,8.96867633341832e-12,1.07519287316603e-09
"GNAI2",1.13601682811216,6.41987015881602,9.37950939735525e-12,1.11002886214085e-09
"MGST1",4.11669332665852,3.65568677477907,1.08291121470299e-11,1.2653611927751e-09
"SFRP2",7.19692166480423,3.8193804073047,1.15056588336841e-11,1.32760920867173e-09
"SRPX2",2.64696538310266,3.15049570074819,1.193965722002e-11,1.33144371824637e-09
"STAT6",1.7788922121881,5.16322039567287,1.19939966833634e-11,1.33144371824637e-09
"PRKD2",1.49335922767382,3.84039868806682,1.20526346137592e-11,1.33144371824637e-09
"LMNA",1.12058603096808,7.83623012941761,1.21158349401685e-11,1.33144371824637e-09
"CDC25B",1.75999760718391,4.05021243718839,1.27009828339632e-11,1.3793267357684e-09
"CRIP2",1.72347836571711,5.22459379571003,1.31025626333981e-11,1.40639250777788e-09
"DGKA",1.99046921985377,2.04852306523463,1.38969922454691e-11,1.45108184854863e-09
"TMSB4X",1.85563140911514,7.56052468986161,1.39494654689642e-11,1.45108184854863e-09
"CLSTN3",2.15364124541771,3.16107456750407,1.39904977273132e-11,1.45108184854863e-09
"GMIP",2.23261995871464,1.45346112875726,1.43874373849878e-11,1.47567149445358e-09
"MGP",2.79301516236846,5.95311792334278,1.5297095723769e-11,1.55173066622101e-09
"HCLS1",2.0260125045023,3.49615477099861,1.55033024525197e-11,1.55555418412184e-09
"ARHGAP1",1.35537964720447,5.46524035540621,1.59111028054517e-11,1.57930526878629e-09
"EFS",2.08236685695333,2.46784638033695,1.65355471382159e-11,1.62382591098799e-09
"CFD",2.60364225100398,6.89816146475329,1.82991753664518e-11,1.77810197692333e-09
"PPP1R12C",1.15015213197175,5.33700019838213,1.93961398231822e-11,1.86506006987287e-09
"DAP",1.86158095754656,3.53169367077227,2.23706043371936e-11,2.12889740862509e-09
"CDKN1A",3.98176771351161,7.46636847085137,2.34150625659846e-11,2.19375538948025e-09
"STAB1",2.31162139082063,5.83669561487854,2.35274383662166e-11,2.19375538948025e-09
"COL6A2",2.22602444015782,8.07091010144711,2.76106959180598e-11,2.50195752830276e-09
"CNN2",2.54004009860923,3.06840123694311,2.78399008342807e-11,2.50195752830276e-09
"METRNL",2.6225115157219,3.06201959597314,2.78813620527715e-11,2.50195752830276e-09
"PIK3CD",1.90236257405352,2.12296262443933,2.81185801603233e-11,2.50195752830276e-09
"RPL3",1.94781447604988,8.28482095599574,2.81880167851248e-11,2.50195752830276e-09
"CHD3",1.57068405694118,4.85159220688823,2.87202394394627e-11,2.52491933586362e-09
"EML3",1.68038937179609,4.17845030081672,3.00600930993323e-11,2.61778037169752e-09
"SH3GL1",1.4446664526572,4.38597204928318,3.17189138334631e-11,2.73642330464203e-09
"CYTH4",2.72847347430093,2.26098519160186,3.37991423300757e-11,2.86829410897809e-09
"TKT",2.17200026389314,4.59584073388682,3.38689262136942e-11,2.86829410897809e-09
"NECAP2",1.25468276734821,3.35862292123236,3.48438639645732e-11,2.87631978894911e-09
"P3H3",2.30144730270573,2.30964368509085,3.48967693537137e-11,2.87631978894911e-09
"TAGLN2",1.67612475086123,5.98596248271084,3.48984743107248e-11,2.87631978894911e-09
"AEBP1",3.61849715659207,5.80758204750593,3.71536826740876e-11,3.03509420145578e-09
"MYO1F",2.39747309571058,2.43350256078358,4.03633916172835e-11,3.26837252648372e-09
"C17orf58",1.62799832092411,1.75800312465867,4.2881414837687e-11,3.44207252492772e-09
"CTSK",3.24075411060604,3.97759408887678,4.46548982557416e-11,3.55352901550648e-09
"PLCB2",2.39086267404987,2.39477372257911,4.57864493966598e-11,3.61243345624416e-09
"PCOLCE",2.98157119319794,4.25156571933824,4.99109796237772e-11,3.90447671955159e-09
"ARPC5",1.40775930411555,4.21183183063651,5.21889703801667e-11,4.0483729880615e-09
"GDI1",0.769280040192233,6.14892307161237,5.34386432557448e-11,4.11076763244817e-09
"NAGLU",1.40234551245695,3.75372871427054,5.81344083679708e-11,4.43503077392346e-09
"CENPT",0.959178151237712,4.6826923486638,6.09742380534913e-11,4.61355074976867e-09
"CEP164",1.31255039588518,3.50098575202992,6.32033263489848e-11,4.74333256526406e-09
"COL18A1",2.14937224741772,5.84838630759172,6.42624056249744e-11,4.78392150261402e-09
"ITGAM",2.40022341061562,2.37910984892806,7.00515996482955e-11,5.15766052359421e-09
"PIEZO1",1.88366799864662,4.51048449886043,7.04003061394074e-11,5.15766052359421e-09
"THBS3",1.82050600443151,3.51901346255225,7.29399524919882e-11,5.30164331853183e-09
"TIMP1",3.326947971473,4.63201312288356,7.50953650870190e-11,5.41566652436151e-09
"RARRES2",3.24956947454365,3.31973254475382,8.1834432532833e-11,5.85591974194249e-09
"PLEKHO2",1.89527257467617,3.43753902580232,8.83144358111788e-11,6.27100428440763e-09
"DTX1",3.05419868764602,1.54451992905159,9.29053145884109e-11,6.54663327454672e-09
"ENO2",1.99494825720903,3.045427282326,9.58786534354765e-11,6.7049685595673e-09
"GGT5",2.23255900147313,4.19426952139186,1.00435030903145e-10,6.97079526516490e-09
"C1QA",3.45490110143809,3.56138311430946,1.01237022958423e-10,6.97402208156122e-09
"FXYD5",1.9300981060232,3.37079192962687,1.13571414388231e-10,7.76576093494635e-09
"SHC2",1.82115269790985,3.29644610540498,1.16255976256461e-10,7.89087438840728e-09
"ARHGAP30",2.32901781101161,2.10319053910619,1.26606560091385e-10,8.53069457082903e-09
"ANPEP",3.09308732783938,2.46986384064252,1.28697048082745e-10,8.60871341196972e-09
"EPB41L3",2.0332998188881,4.40582089758633,1.31205177809195e-10,8.71334529753006e-09
"COTL1",2.14889170105447,3.50526835756822,1.34620871919983e-10,8.87632334780971e-09
"SLC1A5",2.4255823694413,3.1330838816739,1.62441961495344e-10,1.0634764160025e-08
"AKNA",1.81730076604741,3.18729637281427,1.6523681930947e-10,1.07415568946882e-08
"FSTL1",2.44018167779962,6.74663926029283,1.72714611109632e-10,1.11491508751959e-08
"MARVELD1",2.12029741766238,3.48505537121292,1.79916454124263e-10,1.15333943612574e-08
"ZYX",1.30150214211795,6.41922160385362,1.84737618306184e-10,1.17607789971337e-08
"PIP4K2A",1.41954163171092,3.23969504052223,1.95785763689725e-10,1.237875605904e-08
"COL1A2",3.5822658566969,8.10425936319465,1.97165409258527e-10,1.2381182944663e-08
"PLXNB2",2.13944770600808,5.25037953308782,2.09596477962171e-10,1.29934188383676e-08
"CHST11",2.01103063587267,1.19163355593279,2.09874532359749e-10,1.29934188383676e-08
"SYNE3",1.95369054757259,4.40059567989731,2.11137777679032e-10,1.29934188383676e-08
"RNASET2",1.65008044754259,2.53818229023541,2.21758784585877e-10,1.35566578841869e-08
"IL4R",2.20912136106829,3.77924028716233,2.23943408489046e-10,1.36001421300157e-08
"WISP2",3.61160480776327,5.16167818624124,2.26997402049652e-10,1.36955099236623e-08
"HMG20B",1.05526008360889,4.31749901109857,2.34410763508465e-10,1.4050946480173e-08
"TGFB1I1",1.82563826072859,3.64147399511631,2.51948789502863e-10,1.50047695219415e-08
"PARVG",2.46048360979864,1.17212100769146,2.54172199641789e-10,1.50401511211113e-08
"FCGRT",1.14811896193678,5.62488817159333,2.56778280804916e-10,1.50777998894366e-08
"SELPLG",2.4819761776479,1.43091903434003,2.58902652159712e-10,1.50777998894366e-08
"FGD2",2.33474665945059,1.86125483614938,2.59708610380285e-10,1.50777998894366e-08
"UAP1L1",2.02075571865946,2.50036923762531,2.65363768791188e-10,1.53098309356966e-08
"PLVAP",2.59209531811355,5.06471843185997,2.70283016869483e-10,1.54147334917514e-08
"VASN",2.439306943052,3.14849716031154,2.70521809734994e-10,1.54147334917514e-08
"IL10RA",2.51165100328743,2.61977865856404,2.73817305055447e-10,1.55067947421278e-08
"SNCG",2.52408629215232,2.89016529791561,2.9054258729779e-10,1.63536501423531e-08
"CADM3",3.01791834360282,1.55150629543119,2.99003149757236e-10,1.67278671236912e-08
