"genes","logFC","logCPM","PValue","FDR"
"SYMPK",-0.624400979764254,6.38082514524112,1.59752968508259e-13,2.10668521757106e-11
"KDM4B",-0.625304723562951,6.34603242889893,2.0010260555551e-13,2.60161570687734e-11
"NCOR1",-0.630856785278053,7.14607155489548,2.08860712677988e-13,2.6777683871257e-11
"SCYL1",-0.631118878183299,6.78524662815498,2.26850534851385e-13,2.86159736778718e-11
"DHX38",-0.484950962851811,6.17640755869295,2.29398987342922e-13,2.86159736778718e-11
"CDKN2C",1.7260774052693,3.38766872403787,2.4710131828598e-13,3.02030113632613e-11
"UBE2G2",-0.419535483276234,7.13909592409913,2.48665243593095e-13,3.02030113632613e-11
"TSR1",-0.622048936143822,6.25965594719178,2.55956758030659e-13,3.06848939400132e-11
"CALCOCO1",-0.662523946417378,8.04283991400394,3.10725001775787e-13,3.67731088640038e-11
"PRPF40B",-0.611752841322452,4.32328742930861,3.57744507350754e-13,4.18017664222128e-11
"PARP6",-0.470544650713376,6.15850738779047,4.43722689182881e-13,5.12000517980897e-11
"AP2A1",-0.514713816105886,6.93454701525152,4.58183833718159e-13,5.22159872722509e-11
"MBD1",-0.359007321183739,5.98294201269788,4.96372504996278e-13,5.58782267514712e-11
"KLC2",-0.786115238192068,5.73643687908522,5.125059664861e-13,5.69993081522071e-11
"DPH1",-0.619960934927064,4.91582292529669,5.30328788133102e-13,5.82793457530556e-11
"USP7",-0.406127146909477,7.36171702068333,5.93567658431451e-13,6.44614477056556e-11
"EIF4H",-0.522454765354105,8.15061546560795,6.27434139873277e-13,6.73470295950025e-11
"LIPE",3.31907513822432,4.31790563669428,6.61463092091208e-13,7.01835149780912e-11
"ZNF496",-0.463180178600141,5.37707815660366,7.33547438062057e-13,7.69474590994414e-11
"TCOF1",-0.703470739286081,5.44743481494915,8.23117118778295e-13,8.53729676791286e-11
"CIZ1",-0.566747977382573,6.76074376084812,8.65931704285116e-13,8.881572846951e-11
"HSPBAP1",-0.889346835175031,4.65563490320016,1.10433309586676e-12,1.12023063823583e-10
"DDX54",-0.662243203367857,6.26103975326664,1.15532118774236e-12,1.13813235830765e-10
"PGAM5",-0.599844702090053,5.25160758180812,1.16335664480383e-12,1.13813235830765e-10
"NCL",-0.632291012460142,8.71253505420542,1.17066462339606e-12,1.13813235830765e-10
"FGL2",2.16775965402405,3.81052887422266,1.17129860295988e-12,1.13813235830765e-10
"ARFGAP2",-0.545357729661748,6.9711298125916,1.42879799834453e-12,1.37387857528316e-10
"CC2D1A",-0.582686515905916,5.37616251172567,1.47025723294977e-12,1.39916953787209e-10
"KRI1",-0.681863832379921,4.89797798292206,1.51851720591295e-12,1.43035023752882e-10
"ELAC2",-0.500901448314189,6.40549776362716,1.60641409528295e-12,1.49785944581383e-10
"RNF20",-0.456431401974688,5.79212931865606,1.87879041703848e-12,1.73431143396822e-10
"ZNF7",-0.462893639013902,4.43522969521866,1.9483295802571e-12,1.78069607478745e-10
"ABCF1",-0.586617859471239,7.1760613253428,1.98983108347582e-12,1.80079713054562e-10
"DHX37",-0.691861857604316,5.00716305536988,2.01052179014899e-12,1.80185695581217e-10
"POLR3A",-0.531613154945496,5.26061288470763,2.09155541463807e-12,1.85645654158885e-10
"CCT6A",-0.454939792691333,7.2098690546629,2.21433157943506e-12,1.9467137914062e-10
"LARP1B",-0.57800728195154,4.71565395954433,2.42160934978958e-12,2.10885621772714e-10
"NFRKB",-0.473020868049889,5.15560294619848,2.5839952516497e-12,2.21069600212235e-10
"PRPF38B",-0.813771374331926,5.62791765692254,2.58644966124162e-12,2.21069600212235e-10
"TRMT1",-0.699896823054595,4.91219970518142,2.61664693646893e-12,2.21598787803162e-10
"KAT8",-0.554370659559786,5.53573934657188,2.6901824494734e-12,2.2575521991899e-10
"AKAP8L",-0.65894433785781,6.00838821758926,2.8345234921563e-12,2.35725102307161e-10
"CFLAR",-0.83279808965131,8.71778244789158,3.48184397694856e-12,2.86972337064394e-10
"TAF12",-0.52596915406265,4.13252108905824,4.3630938972318e-12,3.56422298808378e-10
"FARSB",-0.496423486237926,5.6904936963233,4.60004577468945e-12,3.72482653913669e-10
"SRPK1",-0.703375145725744,5.15678246969479,4.73937177821357e-12,3.80427312040778e-10
"GLE1",-0.382382693825859,5.1372229316289,5.03782223586857e-12,4.00897733269852e-10
"DAP3",-0.533943844255174,6.40474672855137,5.24591220576409e-12,4.08170233431751e-10
"UNKL",-0.886722191122324,4.78462414168587,5.25985407490076e-12,4.08170233431751e-10
"CCAR2",-0.444070591965898,6.02319080366173,5.26186304608150e-12,4.08170233431751e-10
"PELI3",-0.782949056723443,4.10536576797308,5.58797120919358e-12,4.29854685267216e-10
"RMND5B",-0.416936708566072,5.69241398976353,6.13663325676084e-12,4.68159186720325e-10
"HGS",-0.684808947846637,5.95193335410351,6.96221430933266e-12,5.26788526962703e-10
"RBMX",-0.63017700018238,7.12131553792351,7.08879994204837e-12,5.32005790772752e-10
"UTP4",-0.572351318757484,5.65425548780311,7.4464933671001e-12,5.54343389287911e-10
"DCAF8",-0.524388846169326,7.76797286257429,7.87689097665373e-12,5.81692644843924e-10
"IMPDH2",-0.751188389150244,7.30485837709774,9.0117339066607e-12,6.60216791209404e-10
"ADAMTS17",-2.00787717039605,3.73887687762174,9.13859334965415e-12,6.64239017406751e-10
"PRMT5",-0.541354860556054,5.46719608216006,9.3581410301094e-12,6.74882811319843e-10
"IDH1",1.38099190467608,4.34859549783609,9.48540171778184e-12,6.78757699665458e-10
"RRP1",-0.751012518601367,4.3736116894397,9.59981426622748e-12,6.81660657627276e-10
"RABGGTA",-0.596756414877972,4.39076338840129,1.02702160249313e-11,7.18970897959935e-10
"CPSF4",-0.510154584127003,4.78824415064743,1.02810268151567e-11,7.18970897959935e-10
"GPS1",-0.553872470231217,6.84458125572416,1.07816709980559e-11,7.43796755468797e-10
"PFDN6",-0.750077022324392,4.57163543546536,1.07971796373978e-11,7.43796755468797e-10
"CTB-50L17.10",-0.69428405003749,6.03520019187619,1.36839357530263e-11,9.35677118045824e-10
"UFD1L",-0.611293794585884,5.6151916197388,1.39566080284407e-11,9.47304769930409e-10
"ZSWIM8",-0.484000992764784,6.15775189820488,1.45957740915941e-11,9.83456865981792e-10
"ANKLE2",-0.379058071548414,5.97128583441323,1.5017927968841e-11,1.00456879043747e-09
"TSC2",-0.484123100787316,6.76852415894426,1.54081211708458e-11,1.0232544354538e-09
"EIF3I",-0.451905334702096,7.1872590218822,1.63516484610723e-11,1.0781576210297e-09
"RBM25",-0.910758192645611,6.90041916751685,1.65465130481784e-11,1.08326852445202e-09
"PSMD3",-0.551934696991313,7.67274573638778,1.75905087731337e-11,1.14350694707604e-09
"CAMSAP1",-0.603855517542081,6.79822672860059,1.80597677430207e-11,1.16580221004073e-09
"EIF2B2",-0.475667618653468,5.00795891553739,1.8556726735732e-11,1.18956350345516e-09
"SLC35D1",-0.710095655605071,4.5846313773351,1.87999004244032e-11,1.19677155900527e-09
"WHAMM",-0.546669461177612,5.31717927012153,1.89284636133431e-11,1.19677155900527e-09
"RRS1",-0.786907794172511,4.69090987950249,2.10103612638188e-11,1.31936493079123e-09
"ABLIM2",-1.19111259806503,8.21685239476199,2.12448706501759e-11,1.32507703359307e-09
"TWNK",-0.766569644951139,4.0115588678038,2.20379597657627e-11,1.36531816508561e-09
"CRTC2",-0.621986247425233,5.3084439010548,2.23570422788499e-11,1.36965222386482e-09
"TFAP4",-1.0278473872302,2.94588376242672,2.24046675120342e-11,1.36965222386482e-09
"ZNF16",-0.611028994642815,3.26754957367824,2.27349706548329e-11,1.38070075075502e-09
"SLC8A1",1.59242215738482,1.66452593780486,2.31487068263088e-11,1.3966386451873e-09
"GCN1",-0.461888690547473,7.5149454132833,2.46300460696289e-11,1.47636334590094e-09
"TOLLIP",-0.471958474667902,6.27059068594208,2.80783656792642e-11,1.66543014099783e-09
"TOM1",-0.82627247495614,7.54148223569862,2.81450657562195e-11,1.66543014099783e-09
"RGL2",-0.514590053687488,5.93570328472425,2.8338698122174e-11,1.66620714882667e-09
"MBD6",-0.75971853927142,5.74295032754895,2.88992052793852e-11,1.6884086324937e-09
"SF3B3",-0.425422056216561,6.58662414668172,2.93114590252402e-11,1.70172376265404e-09
"KDM5C",-0.546347654392405,7.04341791241746,2.96939515065631e-11,1.71315541473178e-09
"RNF126",-0.736744520482333,5.32758122795771,3.02029601888879e-11,1.73169891617158e-09
"NAT10",-0.510230102844823,5.3102454981346,3.06414068579832e-11,1.74599275744471e-09
"EEF2",-0.627271943839792,11.6287618765374,3.09867109327589e-11,1.75483637190366e-09
"SNRNP200",-0.412278735831712,7.66245701933369,3.37672980788268e-11,1.90064590588811e-09
"YPEL3",-0.819517118866993,6.43260890584901,3.41527854801541e-11,1.91069310768062e-09
"SRP68",-0.383447139196711,6.83859353230453,3.54967881886787e-11,1.97392079379333e-09
"PCF11",-0.469049595736233,6.27442946921945,3.79593152457223e-11,2.09821819780397e-09
"TMEM57",-0.739640586057255,5.88169971364924,3.82695555983232e-11,2.10277540314358e-09
"DRG2",-0.490572443550824,4.81871967969755,4.10314820879435e-11,2.24119296540714e-09
"EIF2B4",-0.465167720336772,5.36785137254708,4.15998632017206e-11,2.25887257185343e-09
"GLTSCR1",-0.800507593306148,4.51996178513907,4.65275858827843e-11,2.50633879994717e-09
"PPP2R5D",-0.423821024124456,5.81714102069125,4.67780234841528e-11,2.50633879994717e-09
"ATG16L1",-0.357821566273173,5.08320981872812,4.6971792047542e-11,2.50633879994717e-09
"PSMD11",-0.512303828615858,7.21546087565982,4.93136122161687e-11,2.61617215153709e-09
"CCDC124",-0.832140864425716,6.14192745766157,4.97913370096302e-11,2.61747386920336e-09
"PIDD1",-0.958057047677246,4.71915944346861,5.0123400478394e-11,2.61747386920336e-09
"KLHL30",-1.13035735756401,7.5319570751674,5.021380990585e-11,2.61747386920336e-09
"XRCC5",-0.350431482469156,7.37425234970673,5.04723593021555e-11,2.61747386920336e-09
"PSPC1",-0.481989837314138,5.22025615664044,5.1891138366513e-11,2.67601730872224e-09
"TBC1D22B",-0.795100329138956,4.42757082434979,5.38269260459868e-11,2.76042419072502e-09
"EIF3A",-0.619094450320018,8.68387329050563,5.65497723654336e-11,2.88403839063712e-09
"TOMM40",-0.682208847729299,5.52100470057025,5.95881246868781e-11,3.01706455467274e-09
"IMP4",-0.487902851814389,5.47921102029756,5.98118095011495e-11,3.01706455467274e-09
"CLPTM1",-0.47966479143666,6.67243983642919,6.24079845513163e-11,3.1297070867938e-09
"MIF4GD",-0.601853196308672,4.71504879054492,6.27229781233728e-11,3.1297070867938e-09
"MFGE8",-0.786947179246432,7.95017791278885,6.61464467714969e-11,3.28278414057897e-09
"AHCY",-0.584012972643684,6.42000233356073,6.76454419540999e-11,3.33922499827966e-09
"GNL2",-0.621823667960511,5.65940384409965,6.98972677849018e-11,3.4320302070342e-09
"THRAP3",-0.600489324811533,7.95942845863876,7.09118641701147e-11,3.46342549288005e-09
"DFFA",-0.548715658394909,4.88235671762665,7.26747892904722e-11,3.53084726284394e-09
"UCK1",-0.500980945509534,5.33979268359941,7.37330136771191e-11,3.56350496991354e-09
"PA2G4",-0.557861347846928,6.6729164832607,7.81717150179358e-11,3.74495128135901e-09
"BMS1",-0.453132675946633,6.08580605091936,7.8298732239442e-11,3.74495128135901e-09
"CTPS1",-0.628088651481093,4.46811582786626,8.0337315451588e-11,3.82264824192582e-09
"GRAMD1A",-0.691486724790883,6.02151201476022,8.25613078094663e-11,3.9083252943035e-09
"DDI2",-0.830582415948402,6.92435725898112,8.35740560889087e-11,3.93608220284039e-09
"NACA",-0.662837971033226,9.85787689545001,8.57789014553671e-11,4.0194164433223e-09
"TANGO6",-0.504143770907058,4.27469079710016,8.78403920071303e-11,4.09522554857485e-09
"C2CD2L",-0.588106703414545,4.27747318125158,9.11099049627276e-11,4.2089198463601e-09
"SRSF4",-0.459189950546092,6.72169346948376,9.11909835632131e-11,4.2089198463601e-09
"MRPS25",-0.61481598862024,6.41025199496247,9.40343998665918e-11,4.31856490133586e-09
"CLEC3B",1.81185060431296,3.30291296846135,9.64952135356667e-11,4.4096401789492e-09
"DDX42",-0.395377665261225,6.94398112320493,9.93659798526788e-11,4.51845990157674e-09
"ABCF2",-0.584501715855744,6.35867285546222,1.00275616517219e-10,4.53747164740415e-09
"ZNF274",-0.823209768680693,4.49051171818972,1.00964402230545e-10,4.54635315604956e-09
