"genes","logFC","logCPM","PValue","FDR"
"ESAM",-0.428336429058333,5.02670980652766,0.000446090584631291,0.00143529528990291
"E2F4",0.165506387635684,5.56224239077192,0.00044655617639321,0.00143629270532604
"AFMID",-0.392578963195443,2.9969879135079,0.000449727441228963,0.00144598885753555
"GAREM2",-0.565319124359837,2.35901945769197,0.000452289427873935,0.00145371995428422
"SSH3",0.320953968730795,3.5864145869601,0.000454018263801558,0.00145876874109021
"BMP6",-0.535338841584612,2.34012796711566,0.000457016708579076,0.00146789187087455
"TK2",0.323256588770966,4.10473201328935,0.000458636264505338,0.00147258134179088
"SNAPC3",-0.15634252585948,4.99972766124353,0.000458800355806468,0.00147259599598383
"DAPK2",-0.32045742016109,7.31517664357684,0.000459514888915651,0.00147437676036857
"GPD1",-0.469297058196149,8.51771751743472,0.000462279976434608,0.00148273330871017
"TNNT3",-0.675548547806635,11.8954513622823,0.000465384483777301,0.00149196972006428
"MAN1C1",-0.507792129110415,3.25382392020992,0.000465482915587167,0.00149196972006428
"FOSL2",0.345485070536857,7.59990553709132,0.000468388181770121,0.0015007606060118
"EPRS",-0.143122026608293,7.10850666199009,0.000468551403488288,0.00150076266675933
"CHTOP",-0.158625918544446,6.59136267953179,0.000469474584182524,0.00150319801824103
"SETD3",-0.199495194503591,7.51198785900342,0.000470886622694118,0.00150719639878273
"COPS8",-0.19339778133716,6.8405717141771,0.000471796154623221,0.0015095841605986
"MORF4L2",-0.139833772361011,7.2937812650177,0.000473098810835141,0.00151322769328454
"MPP5",-0.208411924237031,5.28952905991513,0.000476112173547256,0.00152233857776748
"PTPRK",0.285099067977737,4.29788661631631,0.000477929192316719,0.00152761924317023
"MFSD1",0.299670173404595,4.1030821184982,0.000479650178716074,0.00153258940800557
"BPTF",0.210832991521929,6.13934546458855,0.000480194643696781,0.00153379818545501
"DPP8",-0.210606260775338,6.31170742508784,0.000482952081415088,0.00154207217694316
"USP40",-0.185163145225919,5.33549784561705,0.000484549124803648,0.00154663657367305
"TLCD2",0.59495507615185,2.45395122239236,0.000484921672933371,0.00154729068885169
"PPP1R13B",0.217050988159115,4.52000514455436,0.000486912347346974,0.00155310569397371
"HSPB7",-0.42877934049268,10.8083395940746,0.000488350825005318,0.00155715594667499
"PRKCE",0.24940907919129,4.19959262515363,0.000488874201443347,0.00155828651710067
"MRPS12",-0.316464368200352,4.42664739577507,0.000490258427454695,0.00156215931785788
"SMARCC2",0.178318348746675,6.49112275690934,0.000490874466640276,0.0015635825402196
"USF2",-0.194164342001525,7.30572355273475,0.00049327604868535,0.00157069030887011
"PIP5K1A",-0.16764465596357,5.60007340988967,0.00049436577575547,0.00157361740551681
"NUDT16",-0.227556676926755,5.75466855304852,0.000496771891959062,0.0015807312425626
"FBXW8",-0.258492327975863,3.32764764791473,0.000497791440550294,0.00158342963050302
"TAF4B",0.309868928622026,2.91757051182423,0.000498413744023108,0.00158486299382615
"RTFDC1",-0.110326506532154,6.3484919160865,0.000502325238164937,0.00159643707952891
"LCMT1",-0.143964527027239,4.97160819735013,0.000502399492582762,0.00159643707952891
"ERGIC3",0.239571555614633,5.9767391225184,0.000506098043875532,0.00160763628458879
"TPRG1L",-0.133121407955051,6.06177828458711,0.000507882246723973,0.00161274888871998
"PTGES2",-0.287945695625324,6.55311826705552,0.000508114580279748,0.00161293180555789
"ATG3",0.189326941014266,4.52864400874396,0.000508653009500942,0.00161408591636411
"KCTD9",-0.176163495446472,5.26877821964099,0.000509613488250612,0.00161657804468777
"THRA",-0.211487437632637,6.84469703738046,0.00051182714079156,0.0016230423691676
"MSR1",0.648945044883673,1.4695689439197,0.00051536954139186,0.00163371436696026
"EIF4E2",0.221152032138693,6.53975503380129,0.000515855590262307,0.00163469377058405
"SLC36A4",0.292948506002265,2.27878004309318,0.000516745869530899,0.00163695302733004
"LRRC2",-0.513088467206469,8.15988628067665,0.000521263021503664,0.00165069603825054
"PHKG2",0.217452330602481,3.61076878583423,0.000521634073849347,0.00165130457328646
"OFD1",0.241068817254155,3.98932791902192,0.000522146622800587,0.0016523604645431
"TDP2",0.179803651580853,4.45380562792147,0.000522568802797911,0.00165254090306556
"EMC2",-0.14988836307935,5.1502834819314,0.000522776242473225,0.00165254090306556
"ZNF25",-0.19945833552094,5.53249076342467,0.000522839586586405,0.00165254090306556
"FITM2",-0.214957809754516,4.43137676404439,0.00052291972460779,0.00165254090306556
"ZNF302",-0.168067996839089,5.67258121161121,0.000525539666587401,0.00166025210892139
"SSBP3",-0.283010748150632,5.18106549219904,0.000525844376620897,0.00166064640458005
"AHI1",0.298713585273928,4.14304581517994,0.000533008846485388,0.00168236359656367
"ALPK1",0.445939675754413,3.06300336921091,0.000533085637520176,0.00168236359656367
"APPL2",0.236863166652375,4.39151872950808,0.000535438499193793,0.00168921147848869
"ZNF318",0.160084847244778,4.90918247252153,0.000536831867213026,0.00169291905001116
"SLC25A37",-0.261204623334265,5.88859137234964,0.000536980498151086,0.00169291905001116
"XPOT",0.231151495255924,5.52682188277058,0.000539191719746159,0.00169930992317405
"OLFML2B",-0.69817558431153,3.46472170727528,0.000540684519904183,0.00170343303864693
"XAB2",0.202001264459114,5.43016220296079,0.00054177429207901,0.00170628402940339
"PTOV1",-0.199495457130372,6.03582237724586,0.000543976348871639,0.00171263495103482
"UBL3",-0.181569647741979,5.77649187159536,0.000546147699683024,0.00171888490138902
"URGCP",-0.161912362877075,5.82270938319479,0.00054661333615915,0.00171976404433712
"RTCA",-0.142701803881015,5.13785615087793,0.000546805178437145,0.00171978146581032
"BCL2L1",0.296705772656282,5.30591571709429,0.000549027854961102,0.00172618396769276
"CISD2",-0.242821958019753,2.90939924196449,0.000553310936936476,0.00173852424634102
"TMEM9",-0.367948670516322,4.95146472468844,0.000553329458969766,0.00173852424634102
"SASH1",0.327093764493974,5.91447770234265,0.000553808984489155,0.00173943883491643
"SLC24A3",-0.378063174833469,5.35653668357507,0.00055404206576186,0.0017395790166829
"MYF6",0.450391887213622,8.10701758439121,0.000554954739584644,0.00174185215950556
"NUTF2",-0.154712375240339,5.78508802923072,0.000555299625589979,0.00174234223107447
"ARHGEF11",0.145751442352652,5.65486432649605,0.000556452853025318,0.00174536740954017
"FBXL3",0.205386260546513,5.37932765385017,0.000557304054974074,0.00174744352291633
"KLHL29",0.440165955342835,4.53938719506188,0.000568282815838498,0.00178126270730227
"LYST",0.352358117085363,4.42828716089738,0.000571523009071824,0.00179081089502444
"VASH1",-0.505234723795888,3.08276219603395,0.000573872776527838,0.00179756348833677
"ZCRB1",-0.242840395832247,5.61114205922744,0.000574137393551002,0.00179778232017276
"PBX1",-0.242413857315367,6.77315373226421,0.000575897957707357,0.00180268363770655
"FN1",-0.610829059622623,7.36665484546914,0.000580297086660249,0.0018158381040545
"GBA2",-0.216795458100762,6.79775954230344,0.000580695718903521,0.00181646973270024
"DNAJC11",-0.17332065521278,5.47298360291297,0.000582191747040528,0.0018201285135269
"MARK4",-0.30620063003445,5.60948286829914,0.000582259722721799,0.0018201285135269
"SMARCE1",0.193136766397526,5.57660163522725,0.000582749368626061,0.0018210424582895
"ARHGDIA",0.324764221839096,5.90825118398667,0.000583634737457394,0.00182319196665624
"ARHGAP6",0.315728643023512,4.57230114921416,0.000585418663854425,0.00182758525997148
"AP1G2",0.373718714740479,1.93668532030495,0.000585437072227891,0.00182758525997148
"SETX",0.19958257796617,6.19727941494957,0.000585875962764382,0.00182833705621298
"PTGES3",-0.150895714534818,7.43426226536613,0.000586370807275204,0.00182926290028976
"PEX26",0.17591425935791,4.8733863795054,0.000591816505729943,0.00184562775824091
"ATP1B4",-0.51786338534705,6.29542619749039,0.000592168561507912,0.00184610198962497
"PAK1",-0.430114640599776,6.13887750988517,0.000594126557260613,0.00185158077315082
"SRGAP3",-0.563815164396781,2.71477991350251,0.000594699442487513,0.0018527406525826
"ARHGAP30",0.595444363942205,1.93344885556055,0.000595082622617741,0.00185330893703926
"CELSR2",-0.392505592822978,5.16175771634933,0.000599520487691631,0.00186623080154154
"GBF1",-0.141192046318466,7.27398066836953,0.000599636069480252,0.00186623080154154
"CDK8",-0.19645362796128,3.79332552144158,0.000600997622118773,0.00186983790016124
"PGP",-0.329636409245043,5.53692494741182,0.000601746612023226,0.00187153739069623
"ECHDC1",-0.220250235658002,5.2331427665078,0.000602555825656392,0.00187342297966795
"GCC2",0.205845233563858,4.95478473081088,0.000603339406660219,0.00187522763059949
"PDE7B",-0.322182034017676,3.17246926976101,0.000606119537620523,0.001883234416619
"CDK13",0.158355242399417,5.56744767833546,0.000608781269581008,0.00189086806847318
"UBR5",0.162727172769833,7.07606948847189,0.000610184061479017,0.0018945876459848
"TPRKB",-0.213198643301402,4.32615551769771,0.000611579295681479,0.00189828126376454
"EGFR",0.314651793166332,5.94456262357766,0.000612140498780591,0.00189935580581573
"ARMC10",0.201370791550556,3.77838772721155,0.000612539289579278,0.00189935580581573
"IPMK",0.26436151050838,3.11619081168914,0.000612542761771576,0.00189935580581573
"ELF1",0.257281191172588,4.85594087580754,0.000613290057995177,0.00190103442758679
"ZNF445",-0.231821406488071,5.02346560978445,0.000614262764071238,0.00190341039783202
"HERPUD2",0.180107958212569,4.31663488294644,0.000615770491056439,0.00190744208152416
"BMP2K",0.299828104968494,2.70022749595871,0.000619134824188326,0.00191722024893742
"NPHP4",0.407879502033835,2.95777436963197,0.000620065106042111,0.00191945707373398
"MTCH2",-0.164092420118958,6.3066793933592,0.000620793544104408,0.00192106778599658
"PEF1",0.249987796988595,4.78885662092493,0.000622485967696134,0.0019256595066364
"CFAP58",-0.739019193182933,1.17653949066506,0.000622756806336948,0.00192585195286311
"RNF135",0.355324502670436,2.96000655609855,0.000623816594669538,0.00192828163968928
"MRFAP1",-0.13333743864329,8.02646749586713,0.00062403094933146,0.00192828163968928
"THOC1",0.194648819502358,3.99243334582425,0.000624182598038282,0.00192828163968928
"PIK3CD",0.443724432510279,2.13800517173533,0.00062437805449369,0.00192828163968928
"EZH2",0.29233478691469,2.57297361780169,0.000624991746812132,0.00192953137619491
"MOAP1",-0.170707184695487,5.5743703329053,0.000628671960416932,0.00194024435526871
"ZNF611",0.259512508000164,2.13188406359847,0.000629262725361866,0.00194141852199712
"CAPN10",0.223935654581246,3.28751437732996,0.00062951547876785,0.00194154941012563
"ARL10",-0.310662066901036,4.26756734834148,0.000630839655004575,0.00194457425416381
"SLC24A1",0.352668514678479,1.45996473013387,0.000630917548610185,0.00194457425416381
"EYA1",-0.612349245280387,2.86665807211776,0.000632675000610831,0.00194934009700887
"SF3A2",0.251764079585136,5.08468984175924,0.000639007668497629,0.00196819479075796
"ATF6",0.182137486828159,5.18814110763713,0.000640792466129511,0.00197303377412992
"ANKRD6",-0.442610627079138,2.56141385239509,0.000642147255170917,0.00197654595281185
"STRADA",0.242225716021406,3.72493491991439,0.000643688499530904,0.00198031672329102
"PRKAR2B",0.862867973174123,2.57143103578499,0.000643940481888256,0.00198031672329102
"NSD3",0.165982069645382,5.5497463483281,0.000644015903295379,0.00198031672329102
"ASB8",-0.305331088523561,7.69034951821539,0.000647553727644152,0.00199023860007458
