"genes","logFC","logCPM","PValue","FDR"
"ZNF664",-0.0646275004994669,6.37618553100331,0.0660923603233733,0.0813790286974869
"AIF1L",-0.159451709569586,4.26193266004518,0.0661065231863084,0.0813856115674597
"CYB561A3",0.0882337083683521,4.83917874054539,0.0661360124980028,0.0814110589904073
"ZKSCAN8",0.0847378523253627,5.04152535508974,0.0661917362418309,0.0814687889664454
"CARD8",0.0834645407209042,5.22791065449254,0.0662354142393824,0.0815116796218823
"AAAS",-0.0662565649211483,5.03448655509384,0.0664071405617368,0.0817121187050643
"EMC2",-0.0627854381437809,5.1502834819314,0.0666493721273595,0.0819992475153479
"RNPEP",0.0885395995037614,4.37111153365158,0.0668714934368173,0.0822615612893471
"RPS29",0.123920545776808,7.60003502232389,0.0669899855546845,0.0823963433251556
"LRIG2",-0.0797083029396034,4.57889823251586,0.0673916476099806,0.0828793364092367
"FMNL3",0.129537196594741,4.57682874699618,0.0674766357036843,0.0829728019422819
"PPP1R14A",-0.219639072563969,3.06590635816759,0.0678561163721915,0.083428317825213
"SLFN12",0.177593826930405,0.5283214634763,0.0678745522787062,0.0834398710993124
"PYGB",0.148918897121058,5.25118713904673,0.0681355294253494,0.0837495435586419
"LSG1",0.053430526836245,5.22735594991379,0.0681556224265243,0.0837630875541534
"GAB3",0.152177893195777,2.22683645481017,0.0682497274314245,0.0838675764003567
"SLC25A38",-0.0744601695811098,5.3277491404473,0.0683619366051483,0.083994281485708
"DDAH2",-0.228047304659156,3.77221880803609,0.0685804774810857,0.0842515820638678
"NBR1",0.0550144134117889,7.86841902085113,0.0686076741088393,0.084273777737684
"PSMD1",-0.083956256029059,7.67866021900527,0.06872380618656,0.0844051962357817
"MAP7D1",-0.0878438251268286,8.53505258523173,0.0687713269426548,0.0844523239334371
"EIF1AX",0.0946191627577054,6.63185073149567,0.0688114417742987,0.0844903457061121
"ZNF846",-0.10396326232877,2.17228421087066,0.0690519368835636,0.08477436219872
"SLC26A2",-0.134006807481466,4.07400762982075,0.0691382913104986,0.0848690913679803
"RETSAT",0.164191657540929,6.72597028093942,0.0692813049008052,0.0850333367290697
"DLG3",-0.163753102100398,1.92711590518295,0.0693633078537727,0.0851226661523764
"GPC3",0.336860820217489,2.7800796347367,0.0695455604974138,0.0853349819156755
"USP25",0.10120929122948,7.26256241715583,0.0696475306635634,0.0854487447574898
"DDX3X",0.0746442238935689,8.1773689894433,0.0696718135748619,0.0854671775560864
"GOLGA4",-0.118420812207333,8.42271882173143,0.0698732481461959,0.0857028904647268
"DSN1",0.11318238782128,2.27685935394926,0.0699464358732803,0.0857812607341903
"GAREM1",0.107134522002164,3.99116450697374,0.0699841168047998,0.0858160709650779
"TECPR2",-0.0808416417332403,5.32751074188893,0.0701639291251485,0.0860251334512214
"C19orf70",-0.112784088680139,5.69030905040746,0.0702303566753609,0.0860951424263289
"RFX5",-0.0972484366180448,4.54843691738825,0.0702399957292603,0.0860955252392514
"RNASE1",0.200843048737629,5.63494649116901,0.0703416660554909,0.0862086987995534
"STARD10",-0.135326739916005,5.41734960885438,0.0703559880632945,0.0862148049664505
"RBM12",-0.0878721301449034,5.29274902747184,0.0704945524431172,0.0863731369262563
"SELENOP",0.139199804876015,5.72111424514013,0.0706103883549001,0.0865035826017363
"UBQLN1",0.0624277794449356,7.44470393697574,0.0709469451031957,0.0869043591092887
"TMA7",-0.0962525555577838,5.52389930914094,0.07107522989091,0.0870499465467679
"GTF3C4",-0.0570707346886654,4.7392006001799,0.0711957052220724,0.0871859319322036
"TARSL2",-0.119085465020665,6.07212673127595,0.0712625934415894,0.0872562674173381
"TBRG1",0.0556292318803096,4.94727856108336,0.072032544226668,0.0881873230446116
"RECQL5",0.095095873162878,3.64252400130134,0.0722717298159363,0.088468417707321
"TM2D2",0.080265639916272,3.88962350041746,0.0724051685531482,0.0886200094025605
"POLD4",0.0917123638258417,4.6840236216242,0.0725089192707172,0.0887352291910368
"ATXN1L",0.089230919812286,5.39054810225883,0.0729503061162342,0.0892635572320994
"CARF",-0.0929298689252583,3.56129337561754,0.0731732149842408,0.0895244463246556
"SS18L1",0.0632714702511225,4.87799848765416,0.0734517863931224,0.0898533580963309
"PAPLN",0.210856813058403,2.55528544514063,0.0735903222736673,0.0900109003455973
"TESK1",0.0748697782130038,5.96189835023229,0.0737587001307169,0.0902048967814848
"TLDC1",0.105384783592558,2.4164862518064,0.0737751705716116,0.0902130877661341
"MCM3AP",0.0504206045588555,6.72888293448189,0.0738129188536573,0.0902472919123325
"ATP7B",-0.100732961202076,2.52814395310892,0.0740376881485137,0.0905101177723388
"FGFRL1",-0.139023765031714,4.71029634240005,0.0740904868789986,0.0905626700715091
"YWHAE",-0.0566637863127849,8.90590027491975,0.0741197492945229,0.0905864432328534
"LDOC1L",-0.0750131435116564,5.31703495625919,0.0743786713874398,0.0908908545906085
"MFSD14B",0.0887388555808862,4.28491339423954,0.0744826319305358,0.0910058471675415
"SVIP",0.099169262568013,3.98474957323226,0.0748928756992078,0.0914949888273408
"GMCL1",-0.0939618348230336,2.83310060069751,0.0752677285911861,0.0919407704942754
"RPAP2",-0.0602592281619186,4.9351517313196,0.0753575663132821,0.0920383295366376
"DENND4C",0.0834449961976624,4.96023139781238,0.0753890175870427,0.0920645616279919
"ZNF75A",0.0738923343964754,3.74791293732619,0.0755335307172883,0.0922288388956731
