"genes","logFC","logCPM","PValue","FDR"
"LRP1",-0.289903486574886,7.68278144902568,0.00964000904178543,0.0165280318470879
"BCL2L2",-0.122191332858341,5.05857588243142,0.00969158542073993,0.0166133751195637
"NUP155",-0.0896720925147992,4.07266710826496,0.00972306144724074,0.0166642369512587
"MED23",-0.1088496063719,4.64002266699078,0.00976758489463856,0.0167374375649542
"SMC1A",-0.0993878809467806,6.35276126682706,0.00978387175098801,0.0167622346201504
"XPA",-0.103296721482945,3.79498525424799,0.00979913417226351,0.0167852676830886
"SAR1A",0.0864195644332757,6.36342310628607,0.00980641031957989,0.0167946147792286
"SOX17",-0.280859796040839,3.14479999683627,0.00981829530247915,0.0168118501089195
"THBS4",0.451584134880521,7.55159568363697,0.00982082376942587,0.0168130608708402
"C2orf49",-0.0782801402906168,4.39016805314974,0.00983945683707003,0.0168418368371952
"ERCC5",-0.152891285575714,1.44240040033961,0.00986034195891669,0.0168744561777456
"THRA",0.113945950839052,6.84469412430095,0.00986599205466203,0.0168809958584959
"ICMT",0.228451867274874,7.09741546964738,0.00989413256801545,0.0169260077344979
"CDON",0.304561275731009,2.23620592798115,0.00994338905077001,0.0170071195715505
"COL4A5",-0.212045866882671,4.42188776626133,0.00995424300531675,0.017022530044846
"POLDIP2",0.135746412044378,7.87269079452736,0.00999009187958726,0.0170806701501148
"ZC3H13",0.138088799338401,6.18599909426713,0.0100110533475486,0.0171133395280039
"SERPINB9",-0.232928140815489,2.37975138024747,0.0100224762593588,0.0171296941955455
"IRF2BP1",0.11641991159458,4.73049647623546,0.0100272241601049,0.0171346364720341
"PDS5B",-0.103344256274192,4.90254126621631,0.0100351100299382,0.0171424000117313
"HOOK2",0.224565509067167,5.48749097035098,0.0100354814931639,0.0171424000117313
"CISD1",0.166524655394182,5.78351995848471,0.0100377434355682,0.017143091517804
"BOD1",0.100711136617474,6.0085882738348,0.0100560014098815,0.0171710967470618
"TBCC",0.115819410813824,4.31376657444788,0.0100601939122129,0.0171750786024851
"ZNF500",-0.130963708313546,3.29994049019582,0.0100702199010519,0.0171890162549206
"FAM189A2",-0.178133298596579,6.11815173734088,0.010084722407664,0.0172097102618403
"ALG11",0.118182147452947,2.15823969091663,0.0100860722041551,0.0172097102618403
"TMUB2",-0.12235529057652,4.97307182630217,0.0100919226615318,0.0172165104580669
"FBXO32",-0.24304039006723,10.577951326643,0.0101236148969571,0.0172666320414641
"GLI4",-0.168402827357978,3.07529047132246,0.010126664067338,0.0172666320414641
"APLP2",-0.154064857673131,6.96228619144242,0.0101272416352511,0.0172666320414641
"EHBP1L1",0.141759657038549,9.11083364156166,0.0101287848017038,0.0172666320414641
"CEPT1",-0.115913824793972,3.61648968308598,0.0102027565369683,0.0173895209735515
"INTS6",-0.112061268323773,4.44331755623857,0.0102466295755892,0.017461073954636
"L3MBTL2",-0.090329246557583,4.42918404365005,0.0102497176616767,0.0174631125387481
"EIF2AK4",0.0928586089857741,5.34928558362215,0.0102569717400863,0.0174722469335185
"ZNF672",0.138327085514649,5.98653584278355,0.010269071793537,0.0174896313147859
"ST6GALNAC4",-0.207072088735557,4.20186633983926,0.010296515257249,0.0175331363843693
"ZNF304",-0.123340391509577,3.47165843270349,0.0102998678782772,0.0175356105467312
"CHAF1A",-0.125160270472044,4.03510122853185,0.0103264331722892,0.0175775962775958
"CBX5",-0.123947220772531,5.54831217292458,0.0103500208980626,0.0176144990615811
"ERCC6L2",0.0986724914519863,3.98564732973305,0.0103529018041699,0.0176161542035561
"KDM2B",0.101444621659068,4.17819170274921,0.0103714948684448,0.0176445390952109
"COL5A1",0.366454640403491,5.16681866098894,0.0103854741177441,0.0176650657049744
"IMPA2",-0.207238939369275,7.2767012535158,0.0104135498391863,0.0177095575839221
"DSE",-0.179716303041773,4.39146405523469,0.0104270443294335,0.0177292404135201
"KLC2",-0.122182251756382,5.73643594253277,0.0104396404998666,0.0177473888497732
"CD3EAP",0.153132263753048,2.25450628187205,0.0104472092064405,0.0177569854878756
"AAGAB",0.0960906229863409,5.32902487935065,0.0104594626813183,0.0177745397664302
"GTF2IRD2",-0.195796518260497,2.76516895009262,0.0104682730857718,0.017786237595207
"ATG4D",0.152053629736142,5.29945379273138,0.0104707578270788,0.0177871854070232
"CSRNP2",0.098677335229494,5.05188926057184,0.0105010203227847,0.0178353116098667
"NCKAP5L",0.192105530243235,4.80914984855538,0.0105191903323558,0.0178628855699
"PPP1CC",0.0986953197125415,7.44306850077189,0.0105475411677487,0.0179077345079067
"MYLPF",0.357008198164454,11.0967943469428,0.0105908575990467,0.0179779710365575
"TBC1D10B",0.0930885093597547,5.76887078143131,0.0106370857836111,0.018053123527949
"MOSPD1",0.131834604789404,3.71613240009552,0.0106601481749183,0.0180889389343145
"GSN",-0.262384970933677,9.41712016467026,0.010666256407445,0.018095977374954
"PEX13",0.0919302179953747,4.81472658393463,0.0106684912491384,0.0180964429843434
"PKDCC",-0.203574368526329,7.11090547044939,0.0106712779077056,0.0180978442708121
"FLNB",-0.228800941662952,5.57773217051261,0.010704004911057,0.01815001273585
"RCBTB1",0.145135764782789,4.09091115842332,0.0107639240511451,0.0182474695411435
"FHL2",0.219232459775459,5.36895076316443,0.0107654337689381,0.0182474695411435
"AC093323.3",-0.1005108518062,3.62382090534828,0.0107821811576909,0.0182725012422699
"SMG5",-0.0897994380689561,7.07340666330621,0.0108082982201088,0.0183133995722878
"PROS1",-0.259472044991496,3.4846773283439,0.0108540706762727,0.0183875615186995
"6-Sep",-0.23029611414805,2.81575494284802,0.0108560513787144,0.0183875615186995
"TASP1",-0.176884054865086,2.15707919555851,0.0108752478436361,0.0184166965409292
"PTPN13",-0.314043141918566,2.50753337854924,0.0108987649667537,0.0184531363551179
"ASH2L",0.0661002365819166,5.42598791453524,0.0109101918986563,0.0184676430329756
"ECM1",-0.276822357308493,3.38930516846384,0.0109113341026811,0.0184676430329756
"NSUN4",0.097072752594204,4.27478941943961,0.0109385324076288,0.0185102827964843
"UROS",0.110747545640778,5.75474021948723,0.0109558154728921,0.0185361313471898
"THEM4",0.097457706210682,4.44426370636649,0.0109773643497032,0.0185691864233297
"TEX264",0.119034529645025,4.39860960256881,0.0109998992573812,0.0186029110915603
"ZNF583",-0.144437520869554,1.87846282549142,0.0110013315620006,0.0186029110915603
"GBP3",-0.332973101768185,2.01555617488416,0.0110081764244464,0.0186110762956163
"MAOA",-0.465389714961399,5.84824705712066,0.0110447347273938,0.0186694646161092
"SRFBP1",0.101546103588974,3.32724848855975,0.0110535970245844,0.0186810241914938
"RNF220",0.0799577515657603,5.83797671772074,0.0110637412266624,0.0186947456092478
"OTUD4",0.131565329056017,6.92650140419221,0.0111663975956997,0.0188647540640381
"SPIRE1",0.15298048966494,5.18693888997603,0.0111743112736701,0.0188746692346292
"DZIP1",-0.23413047444705,2.46239950570389,0.011182209088814,0.0188845539880794
"ZFPL1",-0.0937101479125411,4.18584848396102,0.0111965454311951,0.0189038065638431
"KATNBL1",-0.11809451803994,3.72871481544309,0.0111987391113818,0.0189038065638431
"GPNMB",-0.302996763841244,4.95853471459861,0.0111997528000929,0.0189038065638431
"SYS1",0.101731892045315,4.51082107966718,0.0112259804193323,0.0189446115632279
"ALG8",-0.145735702550455,2.98345496720472,0.0112600692338888,0.0189986655269654
