"genes","logFC","logCPM","PValue","FDR"
"SUMF1",1.29403944122409,2.76023662202927,4.36143601394173e-18,8.10068729269539e-17
"SAMD9",1.81893868036116,1.80988141672799,4.5012202861458e-18,8.3435270002835e-17
"SRPK1",-1.19793667120036,5.04801112933092,4.57571018668359e-18,8.46460535736999e-17
"PNN",-0.93548927723355,6.47558432778263,4.64553498625375e-18,8.57658669162168e-17
"AGPAT2",1.94367992752954,4.72147661763913,4.84606168970705e-18,8.92894120911892e-17
"MFSD1",1.02335346768238,4.01339748937681,5.06263901233753e-18,9.30940651850353e-17
"PSME2",1.16902653223679,4.85651365385116,5.09821866365806e-18,9.35619413205318e-17
"ARHGAP31",1.35127262968321,4.12320497827135,5.11064132944592e-18,9.36038295875303e-17
"EVC",1.92255724416103,2.91045067944874,5.19890468207879e-18,9.50318596440977e-17
"ORMDL3",0.979491552904329,5.00058444060744,5.21644396539763e-18,9.51640202462165e-17
"SLU7",-0.692303287779226,5.81359378857534,5.46073858394636e-18,9.9424216702976e-17
"ATP9A",1.66612647699112,6.00060165309265,5.60149315552301e-18,1.01786187635104e-16
"GNB1",0.77027315523657,6.27729575799287,5.76083552210098e-18,1.04475977808476e-16
"TBC1D17",-0.958182528005356,6.90460428276112,5.79933188433168e-18,1.04967907106403e-16
"UBN1",-0.736555414625117,5.95630862595551,5.91740867872711e-18,1.06895498069139e-16
"RNF25",-0.802920223563858,3.79138031433475,6.19115214445386e-18,1.11622120010652e-16
"EMP3",2.05730726741997,3.02080103804401,6.27551006528628e-18,1.12922482285882e-16
"PLXNA4",3.16231395106281,3.03526298380423,6.70128761884075e-18,1.20349389123578e-16
"TSEN2",-0.798784797075203,3.36791467813896,7.0781873665061e-18,1.26871354524695e-16
"NECAP2",1.15218032062024,3.35874796875721,7.26618026385648e-18,1.29964211677628e-16
"UCK1",-0.751048879777377,5.27474762696893,7.27889691662154e-18,1.29964211677628e-16
"ATP1A2",-1.42094048638667,10.8047657269278,7.433121318368e-18,1.32367418654042e-16
"PAPSS1",1.39417508240241,3.03095433258407,7.442172059522e-18,1.32367418654042e-16
"LSG1",-0.681186572265344,5.10854589813564,7.55536567897741e-18,1.34122270351232e-16
"PMEPA1",1.94470993373645,4.64121997484583,7.61897451909628e-18,1.34991849876733e-16
"INTS1",-1.002100955492,7.30838884254128,8.0877625730986e-18,1.4302324964037e-16
"PGAM5",-0.909540755150316,5.18443903714966,8.19446814273033e-18,1.44633146129147e-16
"PLS3",1.47584003951911,5.62311968345614,8.61546110987157e-18,1.51773514322947e-16
"KCNAB1",2.30253143548165,2.12565731364619,9.99694704016056e-18,1.75774891671852e-16
"RNASET2",1.52812703695829,2.53878083238327,1.02494201804914e-17,1.79871478490714e-16
"PFKFB3",-3.3193631742266,9.68474714061829,1.04071228950853e-17,1.82292507484882e-16
"CORO6",-1.21040044991832,9.25638939513074,1.08983589019363e-17,1.90535513302602e-16
"ULK1",-1.38341427602281,7.3864281072876,1.10437653870796e-17,1.92712662170381e-16
"TES",1.51385380810821,2.73044504651392,1.13919329468854e-17,1.98413081193771e-16
"S100A10",2.24646179242949,5.28523668724657,1.15341106054064e-17,2.0051106402732e-16
"TAF12",-0.794766946454357,4.0145264357353,1.20992431761913e-17,2.0994006345756e-16
