"genes","logFC","logCPM","PValue","FDR"
"HLA-A",-0.0987949043086759,7.4309379501654,0.188085651701916,0.227462157848865
"ZNF774",-0.080272561368441,3.64115616489108,0.188571168216687,0.228019446398773
"TAF10",0.0445962730940241,4.72895019449269,0.188665446868378,0.228103567785462
"APBA3",0.0345785865658975,4.0050299405821,0.189204811994262,0.228725722828579
"RHOC",-0.0825511712201991,5.36865030434152,0.189265608267927,0.228769258860971
"DCAF15",0.0399426063934048,4.46563627216151,0.189427173271572,0.228910248695618
"FNBP1",0.048314876475089,5.58734994343911,0.189431848097262,0.228910248695618
"CIZ1",-0.0321457069401048,6.76074170865595,0.189500043334417,0.228959470719905
"SPRY1",-0.0579807854671415,5.86518767755402,0.189540522616422,0.228959470719905
"PKP2",0.102623281789977,3.67725370136414,0.189546991143052,0.228959470719905
"SLC27A3",-0.0983964592592076,2.9987951655845,0.190307825734316,0.229848428542911
"VPS41",0.0414861827850695,4.18644865573707,0.190559399022721,0.230122162791567
"ST6GAL1",-0.0698154860717577,4.75767495780704,0.191104922659356,0.230750757497517
"COQ8A",-0.0846382164980467,10.0398055029582,0.191180920476204,0.230812330227026
"HLX",-0.0804863280342855,2.86415949291368,0.192055247646947,0.231837582192882
"RASA2",0.0558624477909627,3.63399491992443,0.192224572513036,0.232011640803849
"HOMER1",0.0787084085395287,5.48337711829713,0.192374117990237,0.232141389509761
"C2orf69",-0.0546570221639957,4.17670348503433,0.192382366997039,0.232141389509761
"RINT1",0.0313212788169665,4.38549128670103,0.192450583158725,0.23219335160609
"ITPR1",0.0828464145728756,3.96468355057686,0.193072035757489,0.232912697605512
"ZNF276",0.0416712411797574,4.17995703627872,0.193420561644144,0.233302653147405
"TYW3",-0.0413743497380311,3.69383567140505,0.193937099546047,0.233895135342247
"KLF8",0.0780681472087141,3.20228426014747,0.194254586256417,0.234247431186543
"NSMCE3",-0.0368450589959637,3.48453525666526,0.194435976757821,0.234435021285365
"INPP5D",-0.105898263855587,3.35131021521177,0.194460942257831,0.234435021285365
"KLF7",-0.0745514912888967,4.23402237231344,0.194499469635966,0.234450849335284
"LHFP",-0.0960670306059088,5.13155944425994,0.194648920207655,0.234600363289837
"HRCT1",0.11361929722635,1.35187193862746,0.194748188206333,0.234689363620452
"OSBP",-0.0359513395422601,6.73643538302033,0.195114759651572,0.235100423749336
"AXL",0.0876456157506571,4.74944042787793,0.195366029608843,0.235372464019737
"TMEM184B",0.0467070450503028,5.62448880482984,0.195482227211082,0.235481722482774
"RGS10",0.114703377723652,3.29914499316254,0.195800550265691,0.235834404945537
"KNTC1",-0.0769662197176743,2.45520538729623,0.196179222178533,0.236259673833012
"TMEM184C",0.0328853905848064,4.60689908281268,0.196914163770538,0.237113833259306
"CDK14",-0.0596350734030886,3.64574216156797,0.197288972204027,0.237534172742321
"ZHX1",0.0441643562294755,4.86005656598075,0.197447452162948,0.237693978992719
"CLUH",-0.0501311511832841,8.03821667684458,0.197913776840175,0.238224289217845
"SEC22A",0.0356299798384531,2.60273397367266,0.198092527198247,0.238408359656716
"LGALS8",0.0669643950199422,3.97281982671055,0.198657673536589,0.239057356852594
"SPATA13",0.0752368616456864,3.19566493182936,0.198943825080532,0.23937049652221
"HLA-F",-0.111261923827049,4.13327555662889,0.199244239512376,0.239700713533005
"FBXO11",-0.0313595054329227,5.25415413032141,0.199313297618799,0.239752547604787
"TMEM18",-0.044980271172978,4.15186389149239,0.199610812803915,0.240079141758038
"CHTF18",-0.0827836141124049,2.7871072316564,0.199725267692416,0.240185506262205
"IPO11",-0.0287450865724601,4.28358721709624,0.20018811392347,0.24071075675753
"LHPP",0.052390460968547,2.90970697430056,0.200328393060365,0.240848058913809
"ZNF3",0.024556557595614,4.48002190518705,0.20054700949441,0.241079495330499
"RNGTT",0.0336980776668878,3.64950310501925,0.200603298922831,0.241115762025606
"RBM28",-0.0363129960734748,5.60135259893035,0.20064185154908,0.241130703248217
"SPPL2B",0.0533064176371101,5.42208402863695,0.200756837496655,0.24123748593226
"CEACAM19",-0.0804840612495665,4.06718036575735,0.200995306653629,0.241492603894266
"C21orf59",0.0387882744171213,4.35669070166071,0.201968574663676,0.242630389474283
"CCNL1",-0.0756457671871173,5.98533948032147,0.202102563894264,0.24275976152348
"PCDHGB6",-0.0808709213114983,1.79339473243653,0.202216782385076,0.242865354956627
"CMC2",-0.0485935830083134,4.28352394300962,0.202577622864273,0.243267079050358
"ZNF827",0.0461957303054513,4.81620711878173,0.203697288079885,0.244579821314441
"TAF4",0.0293755406688934,4.51558536517574,0.204149660189406,0.245070527140952
"DCUN1D5",-0.0318410843259022,4.45395078212912,0.204159067675649,0.245070527140952
"PCDH17",-0.130679922213945,1.00313195147992,0.204921092918938,0.245953271191615
"ERGIC2",0.0374694095973109,4.60457988192426,0.205381357120177,0.246473648930883
"YIF1A",0.0398653628725503,5.35033813966708,0.206042818468255,0.247235312268355
"RBM42",0.0363730985719632,5.6490317803541,0.206442057373307,0.247682172031843
"EIF3H",-0.0237171592799292,7.45395613715015,0.206717146111606,0.247979983853961
"PRPF8",-0.0294276047452525,8.60419770863098,0.207206635153984,0.248534881640647
"PRKAA1",0.0440645147453007,5.52275957323473,0.208254326127946,0.249758430838622
"NPR3",0.17095662511183,4.03414695128005,0.20828083637696,0.249758430838622
"RPL23A",-0.04388434143517,7.93545620911271,0.208372188205232,0.249797398381174
"ARHGEF17",-0.0726560325717926,5.54101807830037,0.208380434480751,0.249797398381174
"ALG9",-0.0387531888498433,3.71083788034731,0.208394514671587,0.249797398381174
"ABRA",-0.126921313546056,7.37339506589604,0.208655751719233,0.250078063375778
"PARP6",0.0277516992033311,6.15850439029799,0.209292572928822,0.250808742140199
"MAML3",-0.0920233318674717,2.35009648047953,0.209878334569239,0.251478051195306
"TAF7",-0.0283371662029907,7.20298038334697,0.210941894719808,0.252719614556593
"STARD7",-0.0394643565912642,8.21163050746256,0.211047362895551,0.252813159471689
"ZNF148",0.0319279601672059,5.26668040323586,0.211281043709373,0.253060245813057
"GPANK1",0.0318039983300699,4.28795482794886,0.211360085728781,0.253122074644834
"LAP3",0.0471629391912398,5.99598266096608,0.211748598666632,0.253554457684743
"ACVRL1",-0.0695882678449681,4.65080520759369,0.211788405185896,0.253569230644747
"IFITM2",0.0950522909917,5.20027464601875,0.212239476453633,0.254076333438398
"RAP2A",-0.0569520116819595,4.80783591127558,0.213213667483157,0.255209461169219
"ASB5",-0.091789931862253,8.11607303111258,0.21377446201242,0.255847537772158
"RBM12B",-0.0499742675493039,3.68992735475611,0.213979073561614,0.256054965983087
"11-Sep",-0.0843819195695562,5.05828055093438,0.214003256695864,0.256054965983087
"LPXN",-0.0739409526079953,2.18240797692589,0.214078824655269,0.256112186416898
"NETO2",-0.0906174801645957,1.61935238036575,0.214544602029432,0.256636156710339
"RTCB",-0.0217083904524755,5.95479125133114,0.215079970435109,0.257240753029027
"KIAA0930",0.0619611088126297,5.92456380374131,0.215105771057422,0.257240753029027
"RNMT",-0.0328523001813026,5.46605612234078,0.215494962100991,0.257672797299772
"MID1IP1",-0.0640901999874068,7.00444807904589,0.215678626958488,0.257839788252135
"RSBN1L",0.0376049883900144,4.38855019582344,0.215690482600259,0.257839788252135
"NFATC3",0.0391768039480635,5.61591721010574,0.216222297792675,0.258442060199946
"MGP",-0.12616307585847,5.87761709836306,0.216408205323842,0.258630779821903
"ALG13",0.039167109265729,4.20183742934323,0.216494442504919,0.258700349354422
"CCDC124",0.0522425316455115,6.14192219272905,0.217373207486495,0.259699245421006
"FASTKD2",-0.0302491726242982,5.63251089955912,0.217386639515558,0.259699245421006
"FBXO46",-0.0395412972902329,3.49759242485408,0.217538732046128,0.259847313084603
"METTL22",0.0445922615827904,5.3617835414008,0.2178842536821,0.260226361203191
"ZBTB37",-0.0492582849356153,4.30842003127903,0.217915582295541,0.26023010868954
"TNFAIP8L1",-0.0761676511760044,2.78880596456271,0.218325356682732,0.260685728565296
"HNRNPA0",-0.0380590364211569,6.25651003103364,0.218463007014476,0.260816349941881
"ZFP30",-0.0576552887547896,2.478740419752,0.219130760223882,0.261579729422819
"TNRC6A",-0.0349795803398942,6.45065308144908,0.219686487835132,0.262209202121296
"ZMYM6",-0.0409900131719397,3.59658719025637,0.219890943473502,0.262419301771674
"SLC25A39",-0.0450330356266992,5.1574605586905,0.220235203845261,0.262796169428077
"ZNF514",0.0398241647862056,3.77500836514432,0.220524680944924,0.263107577847046
"VAV3",0.0651231294505854,0.80088354731835,0.220719503454055,0.263305988160297
"NPDC1",-0.0740115338797068,4.8625661878646,0.221634147213988,0.264362942619502
"FXYD5",-0.101557147853429,3.38398683439929,0.22238382119417,0.265222875121884
"LMTK2",0.0453132537863077,5.64253138170029,0.222816596103544,0.26570468913988
"TMEM41B",-0.0328875239891864,3.83132375405751,0.222977995367073,0.265862810027571
"MED6",0.0278348030599999,4.06888418753823,0.223036318938822,0.265898005956899
"TMEM109",-0.0356985288753189,6.47355572838679,0.223312116388861,0.26619242592789
"MED26",0.0330602997440806,3.08148206905627,0.223457069281853,0.266330820728313
"CDC42BPA",-0.0418066752428944,5.80628103956075,0.223516495319133,0.266367256427953
"ZCCHC11",0.0424593476820842,6.39034905088113,0.223826882704325,0.26670271772862
"RPF1",0.0311653392488018,4.72635547153609,0.224062112011418,0.266948548783867
"NBR1",-0.0241810414505735,7.86841581391548,0.224951081252671,0.267973084403588
"BCLAF1",-0.0305858237441522,6.75796992886487,0.225297030413047,0.268350566160366
"DNTTIP1",-0.0426420556597797,5.09623422959146,0.225689956500548,0.268783897362476
"ASB3",0.0409729290728967,2.39558374463827,0.225736973295942,0.268805211622141
"CEP126",0.0937277239027877,2.01028938698091,0.22621743619663,0.269330539751589
"NDRG2",0.0515355475560143,10.3482937238177,0.226236486321506,0.269330539751589
"VPS54",-0.0322037017000945,4.60857185787201,0.227070463206561,0.270288516551871
"NCAPG2",0.0379350389167012,2.84980749485315,0.22738072752191,0.27062293653362
"SHROOM4",-0.072197526914911,3.82659970945959,0.227951834507988,0.271267678786031
"GLI3",0.0857884069856153,2.65619396297409,0.228153680860726,0.271472883220593
"ZNF791",-0.035400605697177,4.50083165041757,0.228456939162928,0.271798686095243
"ZNF224",0.041952524394108,2.89886266456569,0.228655343894277,0.271999675191761
"APLF",0.0399324678322669,1.97729627332049,0.22870886596589,0.27202794063093
"TMEM63B",0.0472463524960078,6.14233174919465,0.228738043026463,0.27202794063093
